"번호","주제분류","문화시설명","주소","자치구","위도","경도","전화번호","팩스번호","홈페이지","관람시간","관람료","휴관일","개관일자","객석수","대표이미지","기타사항","시설소개","무료구분","지하철","버스정거장","YELLOW","GREEN","BLUE","RED","공항버스"
"133","박물관/기념관","서대문자연사박물관","서울특별시 서대문구 연희로32길 51","서대문구","37.5767519879565","126.937858169171","02-330-8899","02-330-1736","https://namu.sdm.go.kr/site/main/home","3~10월 09:00~18:00 | 11~2월 09:00~17:00","어린이(5세~12세) : 3,000원 / 청소년(13세~18세) : 4,000원 / 어른 : 7,000원 /  65세이상, 4세이하, 장애인 : 무료","1월 1일, 설날, 추석, 매주 월요일(월요일이 공휴일인 경우 그 다음날)","2003.07.10","","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=b836d1af05ef46edaea157603ad39023&thumb=Y","3월~10월 : 09:00~18:00 11월~2월 : 09:00~17:00 -토요일, 일요일, 공휴일은 1시간 연장 개관 -폐관시간 1시간 전까지 입장  서대문자연사박물관에서는 관람시설외에 다양한 활동을 하고 있습니다. 초등학생 대상으로 자연사 교육프로그램인 박물관교실, 체험교실, 박물관투어 등을 운영하고 있습니다.","<div style='text-align: center;' align='center'><span style='font-size: 14pt;'>서대문자연사박물관의 전시물들은 시간의 흐름에 따라 전시되어 있습니다.&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>46억 년 전의 지구의 탄생부터 현재 자연이 처해있는 위기와 인간과 자연의 조화로운 공생을 주제로 하여 3개의 전시관으로 구성.&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>3층 지구환경관은 지구의 탄생과 변천의 역사, 역동하는 지구내부, 지구를 구성하고 있는 여러 광물과 암석 등 지구에 대한 모든 것을&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>주제로 하며, 2층 생명진화관은 생명의 탄생과 진화를 주제로 생명의 기원, 중생대 공룡의 세계, 포유류의 전성기와 인류의 출현, 그리고&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>현재 지구상에서 살고 있는 다양한 생물의 세계를 다룹니다. 1층 인간과 자연관은 인간과 자연의 조화로운 공생을 주제로 하는 곳입니다.&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>우리 인간 가까이에 있는 동식물, 한강의 상?중?하류에 사는 물고기를 볼수 있는 수족관, 한국의 산림생태를 사실적으로 보여주는 디오라마&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>등으로 구성되었습니다. 이 외에 3층 공룡공원과 가상체험실, 시청각실, 열대어수족관, 교육실, 야외 공원 등의 시설물이 있습니다.</span></div>","유료","","","","","","",""
"134","기타","SETEC전시장(서울무역전시장)","서울특별시 강남구 남부순환로 3104","강남구","37.4956786590374","127.071912029293","02-2187-4600","","http://www.setec.or.kr/","","","행사별상이","","","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=4447c43164154e67b32284157e4a1482&thumb=Y","","<p><span style='font-size: 12pt;'>대한민국을 대표하는 전시컨벤션 시설인 SETEC</span><span style='font-size: 12pt;'>은 전문 전시시설과 회의시설, 지원 시스템을 갖추고 있으며, 지속적인 경영혁신과 운영체제 개선을 통해 여러분에게 새로운 기회와 성공비즈니스를 위한 교류의 장을 제공하고 있습니다.</span></p> <p><span style='font-size: 12pt;'>SETEC에서는 건축박람회, 유아박람회, 프랜차이즈 박람회, IT 기기전 등 다양한 분야의 전문 전시회 및 이벤트가 연 70여회 이상 개최되며, 연평균 6,000여개의 중소기업이 SETEC에서 개최되는 전시회에 참여하여 판로개척 및 마케팅 활동을 추진하고 있습니다. 또한 </span><span style='font-size: 12pt;'>4년연속(2013년~2016년) 대한민국대표브랜드 대상 전시컨벤션센터 부분 1위, 2017 대한민국명품브랜드 대상 전시컨벤션 부분 1위, 2018 대한민국 명품브랜드 대상을</span><span style='font-size: 12pt;'> 차지하는 성과를 거두었습니다. </span></p> <p><span style='font-size: 12pt;'>SETEC은 앞으로도 브랜드 가치 향상, 고객만족 증대를 위해 지속적으로 노력할 것이며, 신생 전시회 발굴 및 지원, 중소기업 판로지원 확대 등을 통해 대한민국을 대표하는 MICE 시설로써 더욱 성장할 수 있도록 최선을 다 하겠습니다.</span></p><p><br></p><p><span style='font-size: 12pt;'>- 서울경제진흥원(SBA) 운영</span><br></p>","무료","","","","","","",""
"136","미술관/갤러리","김영섭사진화랑","서울특별시 강남구 강남대로152길 13","강남구","37.517378842154","127.020501567636","02-733-6331","","https://www.gallerykim.com/","10:00~19:00","전시별 상이","월요일","","","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100345&thumb=Y","","<span style='font-size: 16px;'>2003년 6월 7일, 사진문화의 새로운 방향을 제시하고 국제교류를 통하여 한국 사진 발전을 모색하고자 인사동에 개관한 김영섭 사진화랑은 국내외 수많은 전시회와 전시기획을 하였다. 으젠느 앗제를 비롯하여 만 레이, 앙리 카르티에 브레송, 앙드레 케리테츠, 로버트 프랭크, 게리 위노그랜드, 적 스타지스, 안셀 아담스 등 유명 해외 작가들의 작품을 선보였고, 세바스티앙 살가도, 만 레이 등의 기획전시와 세계 사진 역사전과 같은 대형 기획전도 추진하였다. 잠시 공백기를 거치면서 2022년, 김영섭 사진화랑의 재개관은 한국의 자본이 몰려 있고 젊음의 거리라 할 수 있는 강남구 신사동으로 이전하여 국내 사진계가 나아갈 방향을 제시하며 커다란 발전을 위해서 모든 역량을 총동원할 것이다.&nbsp;</span><br>","유료","","","","","","",""
"137","기타","평화문화진지","서울특별시 도봉구 마들로 932","도봉구","37.690780138783","127.046812594303","02-3494-1970","","https://culturebunker.or.kr/","","","매주 월요일, 1월1일, 설날/추석 당일 *단, 월요일이 공휴일인 경우 그 다음 평일 휴관","","","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000101139&thumb=Y","","<p><b><span style='font-size: 12pt;'>평화문화진지는 대결과 분단의 상진인 대전차 방호시설을 </span></b></p> <p><b><span style='font-size: 12pt;'>문화예술의 공간인 평화문화 진지로 재탄생 시킨 공간입니다.</span></b></p> <p><br> </p> <p><b><span style='font-size: 12pt;'>ㅇ 시설현황</span></b></p> <p><span style='font-size: 12pt;'>&nbsp; - 스튜디오, 공동주방, 공유공방, 다목적 전시실, 작가 휴게실, 카페티리아, 휴게음식점, 다목적 공연장, 커뮤니티실</span></p> <p><span style='font-size: 12pt;'>&nbsp;&nbsp;&nbsp; ※ 공간구성은 매해 사업에 따라 변경 가능</span></p> <p><br> </p> <p><b><span style='font-size: 12pt;'>ㅇ 관람안내</span></b></p> <p><span style='font-size: 12pt;'>&nbsp; - 개방공간 : 전시실, 커뮤니티실, 공유공방</span></p> <p><span style='font-size: 12pt;'>&nbsp; - 운영시간 : 화~일 10:00~19:00</span></p> <p><span style='font-size: 12pt;'>&nbsp; - 휴 관 일 : 매주 월요일, 1월1일, 설날/추석 당일 </span></p> <p><span style='font-size: 12pt;'>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; * 단, 월요일이 공휴일인 경우 그 다음 평일 휴관</span></p> <p><span style='font-size: 12pt;'>&nbsp; -&nbsp;관 람 료 : 무료&nbsp;</span></p> <p><span style='font-size: 12pt;'>&nbsp; -&nbsp;이용문의 : 02-3494-1970</span></p>","무료","","","","","","",""
"138","미술관/갤러리","디뮤지엄","서울특별시 성동구 왕십리로 83-21","성동구","37.5441547484979","127.043357753557","02-6233-7200","","https://daelimmuseum.org/","","성인 12000원/청소년 6000원/유아 및 어린이, 영아 무료","매주 월요일","","","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000101030&thumb=Y","","<span style='font-size: 14pt;'>1996년 설립된 대림문화재단은 한국 최초의 사진 전문 미술관인 한림미술관이 전신인 대림미술관을 통해 현대 사진과 일상 속 예술로 자리매김한 디자인의 창의적이고 다양한개념과 형식을 소개하며, 감각적인 전시와 교육, 문화프로그램 등을 통해 많은 관람객들과 소통해 왔습니다. 2016년 설립 20주년을 맞이하는 대림문화재단은 한남동 독서당로에 디뮤지엄을 개관하고 기존의 대림미술관에서 선보여온 다양한 콘텐츠들을 더 확장된 공간에서 보다 많은 이들에게 문화 예술의 수준 높은 감성을 제시할 것입니다.</span>","유료","","","","","","",""
"139","미술관/갤러리","아웃사이트","서울특별시 종로구 창경궁로35가길 12","종로구","37.5872586942711","127.001368055445","02-742-3512","","http://www.out-sight.net","","","월요일, 공휴일","","","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000101479&thumb=Y","","<div><span style='font-size: 14pt;'>종로구 혜화동에 위치한 아웃사이트 out_sight 는 현재의 징후로 포착되는 시각문화적 현상들을 다루는 전시 프로그램을 기획하여 동시대를 바라보는 국내 및 해외 작가들의 다양한 관점을 소개합니다. 아웃사이트 out_sight는 제도와 시장의 관습적 동일성 아래 박제되지 않는 살아있는 예술의 유통을 지향하며, 이러한 예술로의 전환 가능성을 지닌 동시대의 모든 비예술을 지지합니다.&nbsp;</span></div><div><span style='font-size: 12px;'><br></span></div><div><span style='font-size: 14pt;'><b>out_sight</b></span></div><div><span style='font-size: 14pt;'>@out_sight(instagram) / @outsight.seoul(facebook)</span></div><div><span style='font-size: 12px;'><br></span></div><div><span style='font-size: 14pt;'><b>(분관) OS&nbsp;</b></span></div><div><span style='font-size: 14pt;'>서울시 용산구 소월로 64-4, 3F &amp; B1</span></div><div><span style='font-size: 14pt;'>www.ososos.net</span></div>","무료","","","","","","",""
"140","기타","서울무용센터","서울 서대문구 명지2길 14","서대문구","37.5830598426","126.9278728999","02-304-9100","02-304-9731","http://www.sfac.or.kr/artspace/artspace/dance_main.do","","","신정, 구정, 추석 당일","","","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=f237935ed8c9497c8e844e09d2397ed6&thumb=Y","","<ul class='listType dot red' style='margin: 0px; padding: 0px; text-align: left; text-indent: 0px;' malgun='' gothic',='' '맑은='' 고딕',='' 돋움,='' dotum,='' sans-serif;='' font-size:='' 14px;='' font-style:='' normal;='' font-weight:='' 400;='' word-spacing:='' 0px;='' white-space:='' box-sizing:='' border-box;='' orphans:='' 2;='' widows:='' font-variant-ligatures:='' font-variant-caps:='' -webkit-text-stroke-width:='' text-decoration-style:='' initial;='' text-decoration-color:='' initial;'=''><li style='list-style: none; margin: 0px; padding: 0px 0px 0px 8px; position: relative; box-sizing: border-box; font-size: 12pt;'></li><li style='list-style: none; margin: 0px; padding: 0px 0px 0px 8px; position: relative; box-sizing: border-box; font-size: 12pt; line-height: 1.8;'><font color='#333333'><span style='font-size: 12pt;'><b>&lt;무용예술의 가능성을 실험하는 무용예술 창작공간&gt;</b></span></font></li><li style='list-style: none; margin: 0px; padding: 0px 0px 0px 8px; position: relative; box-sizing: border-box; font-size: 12pt;'><font color='#333333'><span style='font-size: 12pt;'><br></span></font></li><li style='list-style: none; margin: 0px; padding: 0px 0px 0px 8px; position: relative; box-sizing: border-box; font-size: 12pt; line-height: 1.8;'><font color='#333333'><span style='font-size: 12pt;'>서울무용센터는 서부도로교통사업소 이전에 따른 유휴공간을 활용해 2011년 홍은예술창작센터로 개관했으며, 2016년 리모델링해 무용예술 창작공간으로 재개관 했습니다. 국내 유일한 무용 전용 레지던시 공간으로 무용예술 창작활동을 위한 인프라를 지원하며 예술가, 시민과 무용예술의 다양한 가능성을 실험하며 함께 손을 맞잡는 공간이 되고자 합니다. 스튜디오와 연습실, 호스텔, 커뮤니티룸 등의 공간으로 구성되어 있습니다.</span></font></li></ul>","유료","","","","","","",""
"202","도서관","강남구립못골도서관","서울특별시 강남구 자곡로 116","강남구","37.47153792025","127.096582363421","02-459-5522","","https://library.gangnam.go.kr/mglib/index.do","","","매주 화요일 및 일요일 제외한 법정공휴일","","","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000101134&thumb=Y","","<div><span style='font-size: 14pt;'><b>운영시간</b></span></div><div><span style='font-size: 14pt;'>자료실 이용시간 : 09:00~22:00</span></div><div><span style='font-size: 14pt;'>열람실 이용시간 : 09:00~22:00</span></div><div><span style='font-size: 12px;'><br></span></div><div><span style='font-size: 12px;'><br></span></div><div><span style='font-size: 14pt;'><b>시설현황</b></span></div><div><span style='font-size: 14pt;'>어린이 자료실, 책 읽어주는 방, 열람실, 종합자료실, 정기간행물, PC석, 다목적강의실, 노트북좌석</span></div>","무료","","","","","","",""
"141","공연장","롯데콘서트홀","서울특별시 송파구 올림픽로 300 롯데월드몰 8층","송파구","37.5137519612953","127.104446890835","1544-7744","02-6234-3140","https://www.lotteconcerthall.com/kor","","프로그램별 상이","홈페이지 확인","","","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=24b53d4fc8d84eccbee2de5f106a193a&thumb=Y","","<h5 style='margin: 0px 0px 34px; padding: 0px; font-size: 30px; line-height: 1.2; color: rgb(60, 60, 60); font-family: 나눔고딕, ' nanum='' gothic',='' dotum,='' 돋움,='' gulim,='' 굴림,='' 'helvetica='' neue',='' helvetica,='' arial,='' verdana,='' tahoma,='' sans-serif;='' background-color:='' rgb(255,='' 255,='' 255);'=''><span style='font-size: 18pt;'>새로운 감동을 전하는 압도적인 음향</span></h5><h6 style='margin: 0px 0px 18px; padding: 0px; font-size: 18px; line-height: 1.2; color: rgb(34, 34, 34); font-family: 나눔고딕, ' nanum='' gothic',='' dotum,='' 돋움,='' gulim,='' 굴림,='' 'helvetica='' neue',='' helvetica,='' arial,='' verdana,='' tahoma,='' sans-serif;='' background-color:='' rgb(255,='' 255,='' 255);'=''><span style='font-size: 14pt;'>설계부터 준공까지 세계적 장인들이 빚어낸 환상적인 음향 [나가타 어쿠스틱스]</span></h6><p class='mb' style='margin-bottom: 54px; line-height: 22px; font-size: 14px; color: rgb(34, 34, 34); font-family: 나눔고딕, ' nanum='' gothic',='' dotum,='' 돋움,='' gulim,='' 굴림,='' 'helvetica='' neue',='' helvetica,='' arial,='' verdana,='' tahoma,='' sans-serif;='' background-color:='' rgb(255,='' 255,='' 255);'=''><span style='font-size: 14pt;'>롯데콘서트홀은 일본의 대표 클래식 공연장인 ‘산토리홀’과 미국의 ‘월트디즈니 콘서트홀’, 프랑스의 ‘필하모니 드 파리’ 등 세계적으로 호평 받는 공연장의 음향설계를 총괄한 ‘나가타 어쿠스틱스’가 맡아 세계적 수준의 음향을 구현해 내었습니다. 최상의 음향을 위해 건축설계는 물론 무대마루의 구조, 조명 및 영상 장비의 소음 차단, 흡음률을 고려한 객석의자 제작 등 시설 부분까지도 세심하게 설계하였으며, 특히 나가타社의 핵심 컨설턴트인 ‘야스히사 토요타’가 1/10 스케일 모델 테스트부터 최종 테스트까지 설계 및 시공의 전 과정에 참여하여 최상의 음향을 완성하였습니다. </span><span style='font-size: 14pt;'>세계적인 음향의 장인들이 빚어낸 소리의 감동을 롯데콘서트홀에서 느껴 보시기 바랍니다.</span></p><h6 style='margin: 0px 0px 18px; padding: 0px; font-size: 18px; line-height: 1.2; color: rgb(34, 34, 34); font-family: 나눔고딕, ' nanum='' gothic',='' dotum,='' 돋움,='' gulim,='' 굴림,='' 'helvetica='' neue',='' helvetica,='' arial,='' verdana,='' tahoma,='' sans-serif;='' background-color:='' rgb(255,='' 255,='' 255);'=''><span style='font-size: 14pt;'>더욱 풍부한 음향을 위한 건축기술 [BOX-in-BOX]</span></h6><p style='line-height: 22px; font-size: 14px; color: rgb(34, 34, 34); font-family: 나눔고딕, ' nanum='' gothic',='' dotum,='' 돋움,='' gulim,='' 굴림,='' 'helvetica='' neue',='' helvetica,='' arial,='' verdana,='' tahoma,='' sans-serif;='' background-color:='' rgb(255,='' 255,='' 255);'=''><span style='font-size: 14pt;'>보다 섬세하고 풍부한 음향을 위한 롯데콘서트홀의 노력은 건축기술에도 적용되었습니다. 공연 감상에 있어 최상의 환경을 제공하고자 국내 공연장 최초로 콘서트홀의 내부 구조(바닥, 벽, 천장)를 외부 구조로부터 완전히 분리한 BOX-in-BOX 구조를 도입하였습니다. 공간 안에 다른 공간을 넣는 BOX-in-BOX 구조는 외부 공간을 이중으로 감싸면서 소음과 진동을 완벽히 차단하여 관객의 공연 몰입도를 높여줍니다. 섬세하게 설계된 명품 콘서트홀에서 탁월한 음향의 즐거움을 만끽하시기 바랍니다.</span></p>","유료","","","","","","",""
"142","미술관/갤러리","인사아트센터","서울특별시 종로구 인사동길 41-1","종로구","37.5738798319827","126.98460089481","02-736-1020","","http://www.insaartcenter.com/","전시장 10:00 ~ 19:30공예샵 10:00 ~ 20:00","변동","매주 화요일","","","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=6ffbabe6e77f4ac7a105a6edc75b29f4&thumb=Y","■ 기    타 : 1층 명품관 / 2층 판화전시장 / 3층 대관전시장 / 지하1층 대관전시장(공예품)","<span style='font-size: 14pt;'>화랑으로 시작한 이곳은 미술인만을 위한 디자인보다는 일반 대중들이 공감할 수 있는 디자인을 추구하는 곳이다. 판화의 대중화를 위해 기획전으로 기존 작가들과 원로 작가의 작품을 카드로 찍어 판매하기도 한다. 1층에는 상설매장을 마련하여 미술의 대중화에 힘쓰고 있다. 지하는 주로 공예전시장으로 이용되며, 3층에서는 주로 대관전이나 기획전을 갖는다.</span>","유료","","","","","","",""
"143","미술관/갤러리","갤러리 도올","서울 종로구 삼청로 87 도올빌딩 2층","종로구","37.5832322737028","126.981676992197","02-739-1405~6","","http://www.gallerydoll.com/","평일 10:30 ~ 18:30 휴일 11:30 ~ 18:30","무료","무휴(전시기간중)","","","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100479&thumb=Y","","<div><span style='font-size: 12pt;'>간판이 눈에 잘 띄지 않아 지나치기 쉬운 곳이다.</span></div><div><span style='font-size: 12pt;'>인사동에서 이전한 곳으로 규모는 작으나 대관전과 다양한 장르의 작품을 미술애호가들과 함께하는 기획전을 매년 갖고 있다.</span></div><div><span style='font-size: 12pt;'>또한, 작가 발굴 및 조명 차원에서 초대전을 개최하고 있다.</span></div>","무료","","","","","","",""
"144","미술관/갤러리","아트선재센터","서울 종로구 율곡로3길 87 아트선재센터","종로구","37.5794635323506","126.981839239613","0507-1321-8951","","http://www.artsonje.org/","11:00~19:00","25세-64세 10,000원, 9세-24세 7,000원, 9-18세 5,000원, 65세 이상 7,000원, 예술인패스 7,000원","매주 월요일, 1월 1일, 설날 및 추석 연휴","","","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=72d0158e5c5b4e008a768706da2912af&thumb=Y","","<div><span style='font-size: 14pt;'>경복궁 맞은 편 소격동에 위치한 아트선재센터는 인사동과 더불어 미술문화 활동의 중추적 역할을 담당하고있다.</span></div><div><span style='font-size: 14pt;'>미술 이외에도 영화와 연극, 무용, 음악 등 인접 예술분야를 위해 획일화된 기존의 문화공간과 구별되는 미술공간으로서의 새로운 면모를 갖추어 다양한 문화적 욕구를 충족시키고 있다.</span></div>","유료","","","","","","",""
"145","기타","북촌문화센터","서울특별시 종로구 계동길 37","종로구","37.57907437956687","126.9864318880889","02-2133-1372","","https://hanok.seoul.go.kr/front/kor/exp/expCenter.do?tab=1","","","월요일","","","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000101144&thumb=Y","","<span style='font-size: 12pt;' nanum='' gothic',='' sans-serif;='' white-space:='' normal;='' word-spacing:='' 0px;='' text-transform:='' none;='' float:='' font-weight:='' 400;='' color:='' rgb(17,17,17);='' font-style:='' orphans:='' 2;='' widows:='' display:='' inline='' !important;='' letter-spacing:='' background-color:='' rgb(255,255,255);='' text-indent:='' font-variant-ligatures:='' font-variant-caps:='' -webkit-text-stroke-width:='' text-decoration-style:='' initial;='' text-decoration-color:='' initial'=''>북촌의 역사와 가치, 그리고 우리의 전통문화를 알리며 북촌과 한국의 전통 주거문화에 대한 의미를 전하는 곳, 북촌문화센터! 주민과 국내외 방문객들에게 북촌의 의미를 전하고, 전통문화를 향유할 수 있는 프로그램을 제공하기 위하여 2002년 10월에 개관하여 운영되고 있다.</span><br style='FONT-SIZE: 13px; FONT-FAMILY: ' nanum='' gothic',='' sans-serif;='' white-space:='' normal;='' word-spacing:='' 0px;='' text-transform:='' none;='' font-weight:='' 400;='' color:='' rgb(17,17,17);='' font-style:='' orphans:='' 2;='' widows:='' letter-spacing:='' background-color:='' rgb(255,255,255);='' text-indent:='' font-variant-ligatures:='' font-variant-caps:='' -webkit-text-stroke-width:='' text-decoration-style:='' initial;='' text-decoration-color:='' initial'=''><br style='FONT-SIZE: 13px; FONT-FAMILY: ' nanum='' gothic',='' sans-serif;='' white-space:='' normal;='' word-spacing:='' 0px;='' text-transform:='' none;='' font-weight:='' 400;='' color:='' rgb(17,17,17);='' font-style:='' orphans:='' 2;='' widows:='' letter-spacing:='' background-color:='' rgb(255,255,255);='' text-indent:='' font-variant-ligatures:='' font-variant-caps:='' -webkit-text-stroke-width:='' text-decoration-style:='' initial;='' text-decoration-color:='' initial'=''><span style='font-size: 12pt;' nanum='' gothic',='' sans-serif;='' white-space:='' normal;='' word-spacing:='' 0px;='' text-transform:='' none;='' float:='' font-weight:='' 400;='' color:='' rgb(17,17,17);='' font-style:='' orphans:='' 2;='' widows:='' display:='' inline='' !important;='' letter-spacing:='' background-color:='' rgb(255,255,255);='' text-indent:='' font-variant-ligatures:='' font-variant-caps:='' -webkit-text-stroke-width:='' text-decoration-style:='' initial;='' text-decoration-color:='' initial'=''>북촌문화센터는 1921년 지어진 등록문화재 제229호 ‘서울 계동 근대 한옥’으로 구 민형기 가옥으로 알려졌다가 최근에 민형기의 부인인 유진경 가옥으로 고증이 진행되고 있다. 북촌 내에서는 흔히 '민재무관댁' 또는 '계동마님댁'으로 불리었다고 한다. 원래 안채, 바깥채, 앞행랑채, 뒷행랑채,사당 등으로 구성되어 있었지만 한옥 개보수 기준 조례에 의거해 최대한 한옥 원형을 보존하고 복원하는데 중점을 두어 개보수 되어 현재는 &lt;북촌가꾸기 사업&gt;의 일환으로 주민커뮤니티 및 방문객 안내센터 역할을 하고 있다.</span><br style='FONT-SIZE: 13px; FONT-FAMILY: ' nanum='' gothic',='' sans-serif;='' white-space:='' normal;='' word-spacing:='' 0px;='' text-transform:='' none;='' font-weight:='' 400;='' color:='' rgb(17,17,17);='' font-style:='' orphans:='' 2;='' widows:='' letter-spacing:='' background-color:='' rgb(255,255,255);='' text-indent:='' font-variant-ligatures:='' font-variant-caps:='' -webkit-text-stroke-width:='' text-decoration-style:='' initial;='' text-decoration-color:='' initial'=''><br style='FONT-SIZE: 13px; FONT-FAMILY: ' nanum='' gothic',='' sans-serif;='' white-space:='' normal;='' word-spacing:='' 0px;='' text-transform:='' none;='' font-weight:='' 400;='' color:='' rgb(17,17,17);='' font-style:='' orphans:='' 2;='' widows:='' letter-spacing:='' background-color:='' rgb(255,255,255);='' text-indent:='' font-variant-ligatures:='' font-variant-caps:='' -webkit-text-stroke-width:='' text-decoration-style:='' initial;='' text-decoration-color:='' initial'=''><span style='font-size: 12pt;' nanum='' gothic',='' sans-serif;='' white-space:='' normal;='' word-spacing:='' 0px;='' text-transform:='' none;='' float:='' font-weight:='' 400;='' color:='' rgb(17,17,17);='' font-style:='' orphans:='' 2;='' widows:='' display:='' inline='' !important;='' letter-spacing:='' background-color:='' rgb(255,255,255);='' text-indent:='' font-variant-ligatures:='' font-variant-caps:='' -webkit-text-stroke-width:='' text-decoration-style:='' initial;='' text-decoration-color:='' initial'=''>‘홍보 전시관’은 원래 뒷행랑채였던 공간으로 현재는 북촌의 역사와 가치를 홍보하는 자료를 전시하고 있다. 북촌 보존의 중요성을 알리는 영상물 을 상영하고, 북촌 내의 문화재와 북촌에서 진행되는 전통문화체험 등 북촌에 대한 다양한 정보를 얻을 수 있다. 홍보전시관 앞쪽으로 위치한 ‘안 채’는 사무실과 회의실 및 전통문화강좌의 강의실로 사용되고 있으며, 주민들이 쉬어갈 수 있는 ‘사랑방’도 멋스럽게 마련되었다. 안채 뒤로 마련된 아담한 ‘정자’는 원래 사당이었던 것을 휴식공간으로 제공해 단아한 한옥의 정취를 느끼며 차 한 잔 나누는 여유를 느낄 수 있는 곳이다. 정자를 돌아 안쪽으로 자리한 ‘별당’은 주민들을 위한 사랑방으로 운영되고 있으며, ‘대청’은 전통문화를 향유할 수 있는 기회를 제공하기 위한 체험프로그램의 장소로 사용하고 있다.</span>","무료","","","","","","",""
"146","도서관","노원어린이도서관","서울 노원구 한글비석로 346 노원어린이도서관","노원구","37.6579494099946","127.076379050006","02-933-7145","02-933-2455","https://www.nowonlib.kr/LocationHours?code=MB&page=1","평일 : 오전9시~오후6시  주말: 오전9시~오후5시","","매주 월요일 및 법정공휴일","","","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=3487cc67b9144a90b32fc9eae75e419b&thumb=Y","","<p style='text-align: center;'><span style='font-size: 14pt;'>- 유아자료실, 어린이자료실, 디지털자료실</span><br /><span style='font-size: 14pt;'>(평일) 09:00~18:00 (주말) 09:00~18:00</span></p>","무료","","","","","","",""
"147","공연장","살롱쿤스트","서울특별시 서초구 논현로 117","서초구","37.4802905984418","127.043308728556","050713730622","","https://www.instagram.com/salon_kunst/","","0","없음","","","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=b21105ffaa004f608d2e1ef6ac657afd&thumb=Y","","<p>당신의 일상이 예술이 되는, 복합문화공간 살롱쿤스트 입니다.<br />예술에 관심 있는 여러 분들을 위한 다양한 강연과 공연이 진행됩니다.<br />여러분의 모임을 위하여 대관도 진행하고 있습니다!</p> <p>살롱쿤스트(Salon Kunst)* 단순한 공연장이 아닌, 지역사회와 예술을 연결하는 소규모 문화 복합 플랫폼으로서 다음과 같은 사회적 가치를 창출하고 있습니다.</p> <p><strong>1. 지역문화 생태계 활성화</strong><br />- 양재천길이라는 생활밀착형 지역에서 일상 속 예술 향유 기회를 제공함으로써 대형 예술기관 중심의 문화소비구조를 보완합니다.<br />- 로컬크리에이터들과 협업하여 지역기반 예술 문화 콘텐츠의 지속적인 생산과 소비를 유도합니다.</p> <p><strong>2. 예술 접근성 확대</strong><br />- 규모는 작지만, 클래식 음악을 일상 공간에서 쉽게 접할 수 있도록 기획된 프로그램을 통해 일반 시민도 클래식 음악을 부담 없이 접할 수 있게 합니다.<br />- 소수정예 관객을 위한 프라이빗 공연은 심화된 감상 경험을 제공하며, 예술 향유의 질을 높입니다.</p> <p><strong>3. 문화예술가의 지속 가능한 창작 기반 제공</strong><br />- 연주자, 창작자, 기획자들에게 공간, 기회, 관객을 동시에 제공하는 복합 플랫폼 기능을 수행합니다.<br />- 영리 중심이 아닌 작은 규모의 창작 실험 무대로서, 신진 예술가들에게 안정적인 데뷔 및 교류 기회를 줍니다.</p>","무료","","","","","","",""
